coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646176, nanosec=383768229), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -64])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646176, nanosec=416782178), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -48])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646176, nanosec=449710128), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -57])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646176, nanosec=482741373), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -54])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646176, nanosec=515768842), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -73])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646176, nanosec=548771016), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -76])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646176, nanosec=581711600), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -73])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646176, nanosec=614746394), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -77])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646176, nanosec=647767904), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -98])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646176, nanosec=680758699), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -106])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646176, nanosec=713755745), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1997, -104])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646176, nanosec=746754143), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -103])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646176, nanosec=812733349), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -78])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646176, nanosec=845728748), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -89])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646176, nanosec=911729731), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -133])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646176, nanosec=944748994), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -133])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646177, nanosec=10723596), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -114])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646177, nanosec=43756421), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1999, -124])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646177, nanosec=76711519), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -126])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646177, nanosec=109670508), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1998, -153])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717646177, nanosec=142739762), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1997, -167])
