coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512459, nanosec=33644303), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1921, 681])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512459, nanosec=99635946), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1908, 653])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512459, nanosec=132673646), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1900, 647])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512459, nanosec=165741406), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1892, 658])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512459, nanosec=198701222), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1886, 657])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512459, nanosec=231735909), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1880, 661])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512459, nanosec=264757624), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1874, 669])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512459, nanosec=297750017), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1867, 638])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512459, nanosec=330797213), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1859, 645])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512459, nanosec=363805611), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1852, 643])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512459, nanosec=396797812), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1846, 656])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512459, nanosec=429787948), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1839, 689])
