header.stamp,header.frame_id,cr7_pos,cr7_force,cr7_vel,topic
"builtin_interfaces.msg.Time(sec=1769591407, nanosec=69338425)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591407, nanosec=69370306)",,[ 0.01632739 -0.80494538  0.3788303  -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591407, nanosec=79536618)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591407, nanosec=79562128)",,[ 0.01632744 -0.80494589  0.37882897 -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591407, nanosec=89697088)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591407, nanosec=89735239)",,[ 0.01632731 -0.80494622  0.37882809 -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591407, nanosec=99887450)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591407, nanosec=99960973)",,[ 0.01632694 -0.80494588  0.37882715 -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591407, nanosec=110176176)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591407, nanosec=110221747)",,[ 0.0163272  -0.80494615  0.37882779 -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591407, nanosec=120401399)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591407, nanosec=120430020)",,[ 0.01632729 -0.80494624  0.37882801 -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591407, nanosec=130570870)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591407, nanosec=130618102)",,[ 0.01632751 -0.80494603  0.37882862 -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591407, nanosec=140755932)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591407, nanosec=140804223)",,[ 0.01632792 -0.80494563  0.37882972 -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1769591407, nanosec=150983675)",,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_state
"builtin_interfaces.msg.Time(sec=1769591407, nanosec=151060328)",,[ 0.01632741 -0.80494541  0.37883021 -2.98867522 -0.69382544 -1.60693116],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
