header.stamp,header.frame_id,cr7_pos,cr7_force,cr7_vel,topic
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=18090575)",,[-0.00226456 -0.61554422  0.37543763  2.23402604  0.59449751  0.86530448],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=28230020)",,[-0.00226395 -0.61554425  0.37543847  2.23402573  0.59449831  0.86530597],[0. 0. 0. 0. 0. 0.],"[-1.60161123e-05  1.77262884e-05 -1.20945415e-05  3.91791193e-08
  2.73019757e-09 -2.64985960e-08]",xmate_state
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=28264832)",,[-0.00226456 -0.61554422  0.37543763  2.23402604  0.59449751  0.86530448],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=38413877)",,[-0.00226395 -0.61554433  0.37543856  2.23402554  0.59449849  0.86530587],[0. 0. 0. 0. 0. 0.],"[-1.57279710e-05 -4.90132536e-06  6.75240638e-06 -8.09567873e-09
 -5.83642240e-09 -1.08126834e-08]",xmate_state
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=38433468)",,[-0.00226456 -0.61554422  0.37543763  2.23402604  0.59449751  0.86530448],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=48569354)",,[-0.00226397 -0.61554435  0.37543857  2.23402556  0.59449861  0.86530568],[0. 0. 0. 0. 0. 0.],"[-1.36929583e-06 -7.41025665e-06  6.05116380e-06 -2.60364703e-08
  1.15001324e-08 -2.83433178e-08]",xmate_state
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=48602925)",,[-0.00226456 -0.61554422  0.37543763  2.23402604  0.59449751  0.86530448],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=58753841)",,[-0.00226416 -0.61554429  0.37543833  2.23402614  0.59449839  0.86530586],[0. 0. 0. 0. 0. 0.],"[-3.34321750e-05  6.17431181e-06 -4.86856172e-05  8.31926158e-08
  6.55824831e-08 -4.51322483e-08]",xmate_state
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=58823113)",,[-0.00226456 -0.61554422  0.37543763  2.23402604  0.59449751  0.86530448],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=68970300)",,[-0.00226399 -0.61554435  0.37543842  2.23402593  0.59449845  0.86530619],[0. 0. 0. 0. 0. 0.],"[ 7.82542116e-06 -9.65298645e-06  9.10550490e-07 -7.62470709e-09
  1.34743175e-08  3.65810118e-08]",xmate_state
